OBJECTID,DATE_CAPTURED,SCIENTIFIC_NAME,CAPTURE_METHOD,TOTAL_LENGTH,HEAD_LENGTH,SEX,SNOUT_VENT_LENGTH,TAIL_COMPLETE,REGION,ZONE_CODE
3748,2021-01-20 0:00,C. porosus,Trap,370,52,M,180,Y,Darwin,6
3749,2021-01-20 0:00,C. porosus,Trap,221,31,M,101,Y,Darwin,6
3750,2021-01-20 0:00,C. porosus,Trap,214,30,M,102,Y,Darwin,4
3751,2021-01-20 0:00,C. porosus,Trap,257,38,F,117,Y,Darwin,4
3747,2021-01-16 0:00,C. porosus,Trap,156,24,M,70,Y,Darwin,7
3489,2021-01-15 0:00,C. porosus,Trap,251,35,F,117,Y,Darwin,1
3764,2021-01-13 0:00,C. porosus,Trap,172,25,F,79,Y,Darwin,3
3765,2021-01-13 0:00,C. porosus,Trap,203,29,F,95,Y,Darwin,4
3690,2021-01-09 0:00,C. porosus,Trap,446,60,M,216,Y,Darwin,7
3689,2021-01-08 0:00,C. porosus,Trap,159,24,M,74,Y,Darwin,1
3662,2021-01-06 0:00,C. porosus,Trap,155,23,M,74,Y,Darwin,6
3663,2021-01-06 0:00,C. porosus,Trap,258,35,F,120,Y,Darwin,4
3664,2021-01-06 0:00,C. porosus,Trap,204,30,M,95,Y,Darwin,4
3516,2021-01-05 0:00,C. porosus,Trap,155,23,M,70,Y,Darwin,4
